#Entity    TMPTR        POWER             GPUTL             FBUSD             
ID          C            W                                                    
GPU 0      42           13.520            0                 11                
GPU 0      42           13.361            0                 11                
GPU 0      42           13.419            0                 11                
GPU 0      42           13.432            0                 11                
GPU 0      43           13.437            0                 11                
GPU 0      43           13.450            0                 11                
GPU 0      43           13.464            0                 11                
GPU 0      43           13.459            0                 11                
GPU 0      43           13.466            0                 11                
GPU 0      43           13.478            0                 11                
